id,created_at,map,type,is_remake,game_length_second,is_recorded,average_tier,average_division,tier_image_url,border_image_url,blue_dragon_kill,blue_baron_kill,blue_tower_kill,blue_is_remake,blue_is_win,blue_kill,blue_death,blue_assist,blue_gold_earned,blue_banned_champions,red_dragon_kill,red_baron_kill,red_tower_kill,red_is_remake,red_is_win,red_kill,red_death,red_assist,red_gold_earned,red_banned_champions
4915,2023-09-29T17:02:29+09:00,SUMMONERS_RIFT,SOLORANKED,False,2199,False,GOLD,2,https://opgg-static.akamaized.net/images/medals_new/gold.png,https://opgg-static.akamaized.net/images/border_new/gold.png,3,0,8,False,False,39,36,53,69474,"[None, 105, 119, 223, 233]",2,1,9,False,True,35,39,40,71195,"[2, 99, 101, 157, 238]"
4916,2023-09-29T05:02:24+09:00,SUMMONERS_RIFT,FLEXRANKED,False,2316,False,GOLD,3,https://opgg-static.akamaized.net/images/medals_new/gold.png,https://opgg-static.akamaized.net/images/border_new/gold.png,1,1,10,False,True,44,55,69,80658,"[None, 81, 86, 105, 876]",4,1,9,False,False,55,45,51,81157,"[45, 63, 114, 145, 233]"
4917,2023-09-29T03:56:31+09:00,SUMMONERS_RIFT,NORMAL,False,2087,False,GOLD,3,https://opgg-static.akamaized.net/images/medals_new/gold.png,https://opgg-static.akamaized.net/images/border_new/gold.png,4,0,9,False,True,47,29,54,70588,"[35, 54, 111, 350, 777]",0,0,2,False,False,29,47,33,62429,"[86, 89, 105, 111, 876]"
4918,2023-09-29T02:06:30+09:00,SUMMONERS_RIFT,SOLORANKED,False,1945,False,GOLD,3,https://opgg-static.akamaized.net/images/medals_new/gold.png,https://opgg-static.akamaized.net/images/border_new/gold.png,1,0,3,False,False,22,33,26,59194,"[35, 82, 111, 157, 238]",4,1,11,False,True,33,23,29,67430,"[None, 17, 29, 74, 555]"
4919,2023-09-29T01:12:26+09:00,SUMMONERS_RIFT,FLEXRANKED,False,2319,False,GOLD,1,https://opgg-static.akamaized.net/images/medals_new/gold.png,https://opgg-static.akamaized.net/images/border_new/gold.png,2,1,11,False,True,36,42,48,78045,"[43, 53, 58, 59, 233]",3,1,7,False,False,42,36,73,77955,"[82, 105, 117, 136, 421]"
4920,2023-09-28T06:16:11+09:00,SUMMONERS_RIFT,NORMAL,False,1798,False,GOLD,2,https://opgg-static.akamaized.net/images/medals_new/gold.png,https://opgg-static.akamaized.net/images/border_new/gold.png,2,0,2,False,False,30,62,40,57630,"[11, 81, 117, 122, 238]",1,1,11,False,True,61,31,59,72806,"[35, 51, 82, 111, 157]"
4921,2023-10-03T20:33:05+09:00,SUMMONERS_RIFT,SOLORANKED,False,1184,False,GOLD,4,https://opgg-static.akamaized.net/images/medals_new/gold.png,https://opgg-static.akamaized.net/images/border_new/gold.png,2,0,4,False,True,25,4,25,41362,"[None, 11, 99, 119, 412]",0,0,0,False,False,4,25,4,25942,"[25, 89, 122, 517, 876]"
4922,2023-10-02T23:30:13+09:00,SUMMONERS_RIFT,SOLORANKED,False,1089,False,SILVER,2,https://opgg-static.akamaized.net/images/medals_new/silver.png,https://opgg-static.akamaized.net/images/border_new/silver.png,0,0,1,False,False,12,24,13,29821,"[35, 84, 114, 238, 555]",3,0,4,False,True,24,12,23,38796,"[11, 17, 63, 233, 238]"
4923,2023-10-02T23:06:09+09:00,SUMMONERS_RIFT,SOLORANKED,False,1330,False,GOLD,4,https://opgg-static.akamaized.net/images/medals_new/gold.png,https://opgg-static.akamaized.net/images/border_new/gold.png,0,0,1,False,False,17,29,9,36881,"[63, 83, 121, 238, 360]",2,0,5,False,True,28,17,31,45659,"[11, 101, 143, 233, 420]"
4924,2023-10-02T21:15:40+09:00,SUMMONERS_RIFT,SOLORANKED,False,1904,False,GOLD,1,https://opgg-static.akamaized.net/images/medals_new/gold.png,https://opgg-static.akamaized.net/images/border_new/gold.png,4,1,9,False,True,37,23,69,65625,"[101, 107, 122, 157, 233]",0,0,3,False,False,23,37,38,56277,"[11, 39, 136, 145, 412]"
4925,2023-10-02T20:37:32+09:00,SUMMONERS_RIFT,SOLORANKED,False,1871,False,GOLD,2,https://opgg-static.akamaized.net/images/medals_new/gold.png,https://opgg-static.akamaized.net/images/border_new/gold.png,2,1,4,False,False,32,43,33,63456,"[2, 20, 35, 420, 950]",2,1,9,False,True,43,33,45,68096,"[11, 38, 51, 58, 134]"
4926,2023-10-02T19:56:51+09:00,SUMMONERS_RIFT,SOLORANKED,False,1558,False,GOLD,2,https://opgg-static.akamaized.net/images/medals_new/gold.png,https://opgg-static.akamaized.net/images/border_new/gold.png,3,1,9,False,True,50,21,48,62953,"[2, 25, 83, 101, 235]",1,0,1,False,False,21,50,23,46437,"[11, 18, 99, 114, 360]"
4927,2023-10-01T21:52:38+09:00,SUMMONERS_RIFT,SOLORANKED,False,2428,False,SILVER,2,https://opgg-static.akamaized.net/images/medals_new/silver.png,https://opgg-static.akamaized.net/images/border_new/silver.png,2,0,5,False,False,31,36,48,75259,"[28, 89, 166, 412, 420]",4,3,11,False,True,36,31,55,83320,"[11, 82, 90, 267, 902]"
4928,2023-10-01T21:06:51+09:00,SUMMONERS_RIFT,SOLORANKED,False,1737,False,GOLD,4,https://opgg-static.akamaized.net/images/medals_new/gold.png,https://opgg-static.akamaized.net/images/border_new/gold.png,1,0,0,False,False,20,35,35,46704,"[11, 17, 22, 119, 777]",3,1,10,False,True,35,20,33,61702,"[11, 17, 99, 235, 711]"
4929,2023-10-01T20:23:26+09:00,SUMMONERS_RIFT,SOLORANKED,False,935,False,SILVER,1,https://opgg-static.akamaized.net/images/medals_new/silver.png,https://opgg-static.akamaized.net/images/border_new/silver.png,1,0,3,False,True,18,8,16,32470,"[11, 90, 120, 266, 518]",0,0,0,False,False,8,18,4,23485,"[None, 36, 56, 233, 235]"
4930,2023-10-01T19:19:59+09:00,SUMMONERS_RIFT,SOLORANKED,False,2120,False,SILVER,1,https://opgg-static.akamaized.net/images/medals_new/silver.png,https://opgg-static.akamaized.net/images/border_new/silver.png,2,2,9,False,True,54,43,66,78032,"[11, 99, 101, 106, 517]",3,0,5,False,False,43,54,57,69156,"[None, 11, 83, 119, 238]"
4931,2023-10-01T18:34:24+09:00,SUMMONERS_RIFT,TOTAL,False,955,False,PLATINUM,2,https://opgg-static.akamaized.net/images/medals_new/platinum.png,https://opgg-static.akamaized.net/images/border_new/platinum.png,2,0,4,False,True,25,6,22,38325,"[28, 83, 233, 360, 518]",0,0,0,False,False,6,25,7,22957,"[24, 30, 59, 112, 201]"
4932,2023-10-01T16:14:56+09:00,SUMMONERS_RIFT,SOLORANKED,False,1896,False,GOLD,3,https://opgg-static.akamaized.net/images/medals_new/gold.png,https://opgg-static.akamaized.net/images/border_new/gold.png,1,0,2,False,False,19,32,35,53455,"[None, 33, 54, 99, 517]",4,2,10,False,True,32,19,39,64611,"[22, 86, 120, 143, 420]"
4933,2023-10-01T03:40:45+09:00,SUMMONERS_RIFT,SOLORANKED,False,915,False,GOLD,4,https://opgg-static.akamaized.net/images/medals_new/gold.png,https://opgg-static.akamaized.net/images/border_new/gold.png,0,0,0,False,False,6,20,8,22685,"[11, 17, 59, 84, 89]",2,0,3,False,True,20,6,19,34154,"[81, 121, 157, 233, 238]"
4934,2023-09-30T23:33:04+09:00,SUMMONERS_RIFT,SOLORANKED,False,1931,False,SILVER,2,https://opgg-static.akamaized.net/images/medals_new/silver.png,https://opgg-static.akamaized.net/images/border_new/silver.png,0,2,7,False,True,33,45,60,64071,"[18, 33, 75, 91, 99]",4,0,9,False,False,45,33,60,64063,"[24, 26, 99, 238, 887]"
4935,2023-09-30T22:53:19+09:00,SUMMONERS_RIFT,SOLORANKED,False,1025,False,SILVER,1,https://opgg-static.akamaized.net/images/medals_new/silver.png,https://opgg-static.akamaized.net/images/border_new/silver.png,2,0,3,False,True,24,11,25,37150,"[86, 90, 99, 200, 950]",0,0,0,False,False,10,24,10,27083,"[18, 90, 141, 266, 518]"
4936,2023-09-30T21:45:40+09:00,SUMMONERS_RIFT,SOLORANKED,False,1703,False,GOLD,1,https://opgg-static.akamaized.net/images/medals_new/gold.png,https://opgg-static.akamaized.net/images/border_new/gold.png,3,1,10,False,True,36,24,57,62568,"[55, 89, 99, 122, 157]",1,0,1,False,False,24,37,28,49713,"[7, 89, 221, 233, 420]"
